level,kind,floor,start_s,end_s,samples,capture_px_per_s,max_fit_error_px
1,ball,1,28.0,29.9,20,112.55,0.83
2,ball,3,64.2,65.9,18,112.66,0.82
3,cart,3,115.0,115.7,8,225.00,0.00
3,cart,4,115.0,115.7,8,225.24,0.31
3,cart,3,116.2,116.9,8,225.00,0.00
3,cart,4,116.2,116.9,8,225.30,0.39
4,ball,3,145.0,145.8,9,112.50,0.78
4,cart,4,145.2,145.8,7,225.00,0.29
4,plane,1,145.2,145.8,7,225.00,0.29
4,cart,4,145.9,146.3,5,240.00,2.80
4,plane,2,145.9,146.9,11,226.77,1.66
4,cart,1,146.2,146.9,8,225.00,0.00
4,cart,3,146.2,146.9,8,225.00,0.00
4,cart,4,146.4,146.9,6,225.43,0.31
5,cart,1,206.0,207.5,16,224.96,0.46
5,cart,4,206.0,207.5,16,224.94,0.29
5,plane,2,206.0,207.5,16,225.14,1.52
6,cart,1,270.0,271.1,12,225.16,0.39
6,plane,2,270.0,271.1,12,224.88,0.86
7,cart,1,334.0,334.3,4,433.50,2.20
7,cart,3,334.0,334.3,4,433.50,2.20
7,cart,4,334.0,334.3,4,433.50,2.20
7,cart,1,334.4,334.9,6,457.57,2.86
7,cart,3,334.4,335.0,7,455.89,2.95
7,cart,4,334.4,335.0,7,455.89,2.95
7,plane,2,334.0,335.5,16,225.07,0.52
7,cart,1,335.0,335.5,6,449.71,0.35
7,cart,3,335.1,335.5,5,450.00,0.00
7,cart,4,335.1,335.5,5,450.00,0.00
7,cart,2,335.6,335.9,4,449.00,0.30
8,cart,2,417.3,418.3,11,450.00,0.00
8,plane,3,417.3,418.3,11,449.95,0.29
8,ball,1,417.3,418.9,17,112.46,0.81
8,cart,2,418.6,418.9,4,450.00,0.00
8,plane,3,418.6,418.9,4,451.00,0.30
9,cart,1,480.0,480.5,6,450.00,0.00
9,cart,4,480.0,480.5,6,450.00,0.00
9,cart,3,480.0,480.7,8,450.00,0.00
9,plane,2,480.0,480.7,8,448.81,0.93
9,cart,1,480.7,481.8,12,450.00,0.00
9,cart,4,480.7,481.8,12,450.00,0.00
9,cart,3,481.1,481.9,9,450.00,0.00
9,plane,2,481.1,481.9,9,449.33,0.71
10,cart,1,549.0,549.4,5,450.00,0.00
10,cart,4,549.0,549.4,5,450.00,0.00
10,cart,3,549.0,549.7,8,447.02,1.96
10,plane,2,549.0,549.7,8,446.85,1.83
10,cart,1,549.8,550.8,11,449.45,1.23
10,cart,4,549.8,550.8,11,449.09,1.36
10,cart,3,549.8,550.9,12,451.42,2.76
10,plane,2,549.8,550.9,12,451.15,2.12
11,cart,4,615.0,615.3,4,226.00,0.30
11,plane,1,615.0,615.3,4,450.00,0.00
11,cart,4,615.6,616.2,7,225.00,0.29
11,cart,4,615.7,616.2,6,225.00,0.00
11,plane,1,615.7,616.2,6,449.57,0.31
11,cart,1,616.5,616.9,5,225.00,0.00
11,cart,3,616.5,616.9,5,225.00,0.00
11,plane,2,616.5,616.9,5,447.50,1.05
11,cart,4,616.6,616.9,4,226.00,0.30
12,plane,2,685.5,686.0,6,676.86,1.30
12,plane,2,686.4,686.8,5,691.00,3.00
12,cart,1,685.5,686.9,15,225.00,0.00
12,cart,3,685.5,686.9,15,224.89,0.40
12,cart,4,685.5,686.9,15,224.89,0.34
13,plane,1,756.0,756.6,7,675.89,0.23
13,cart,4,756.0,757.2,13,225.00,0.27
13,plane,1,756.8,757.5,8,675.12,0.39
13,cart,4,756.0,757.9,20,225.04,0.28
13,ball,3,756.2,757.9,18,112.52,0.82
13,ball,3,756.2,757.9,18,112.72,0.85
13,cart,4,757.5,757.9,5,225.00,0.30
14,plane,2,812.2,812.9,8,676.85,1.10
14,plane,2,813.0,813.8,9,677.83,2.20
14,cart,1,812.4,813.9,16,225.00,0.00
14,cart,3,812.4,813.9,16,224.92,0.42
14,cart,4,812.4,813.9,16,224.98,0.30
15,ball,3,870.0,870.7,8,112.74,0.74
15,plane,1,870.0,870.7,8,675.89,1.73
15,cart,4,870.2,870.7,6,224.57,0.31
15,cart,4,870.3,870.7,5,225.00,0.30
15,plane,2,871.0,871.6,7,670.36,2.75
15,cart,3,871.0,871.9,10,225.03,0.45
15,cart,4,871.0,871.9,10,225.15,0.30
16,plane,2,912.8,913.3,6,900.43,1.23
16,cart,1,912.3,913.9,17,225.05,0.45
16,cart,3,912.3,913.9,17,225.00,0.00
16,cart,4,912.3,913.9,17,224.88,0.39
16,plane,2,913.5,913.9,5,900.00,0.00
17,ball,3,1005.0,1005.4,5,114.00,0.80
17,plane,1,1005.2,1005.7,6,900.43,0.31
17,cart,4,1005.4,1005.7,4,226.00,0.30
17,cart,4,1005.4,1005.7,4,226.00,0.30
17,plane,2,1005.8,1006.3,6,900.00,0.00
17,cart,1,1006.0,1006.9,10,225.00,0.00
17,cart,3,1006.0,1006.9,10,225.00,0.00
17,cart,4,1006.0,1006.9,10,225.15,0.30
17,plane,2,1006.6,1006.9,4,898.00,1.40
18,cart,1,1094.0,1094.6,7,225.00,0.00
18,cart,3,1094.0,1094.6,7,225.00,0.43
18,cart,4,1094.0,1094.6,7,225.00,0.29
18,plane,2,1094.3,1094.6,4,900.00,0.00
18,plane,3,1094.7,1095.0,4,922.50,3.00
18,cart,2,1094.9,1095.9,11,225.14,0.41
18,cart,2,1094.9,1095.9,11,224.86,0.40
18,ball,1,1095.0,1095.9,10,112.82,0.65
18,ball,1,1095.0,1095.9,10,112.55,0.53
18,plane,3,1095.4,1095.9,6,899.43,0.53
19,cart,4,1200.0,1200.4,5,225.00,0.30
19,plane,1,1200.0,1200.5,6,898.29,1.07
19,cart,4,1200.6,1201.0,5,210.00,2.80
19,plane,1,1200.7,1201.2,6,900.00,0.00
19,cart,4,1200.0,1201.3,14,225.08,0.29
19,cart,1,1201.4,1201.9,6,224.86,0.41
19,cart,1,1201.4,1201.9,6,225.00,0.00
19,plane,2,1201.4,1201.9,6,899.71,0.35
20,plane,2,1231.0,1231.3,4,900.00,1.00
20,plane,2,1231.6,1232.0,5,897.00,0.60
20,plane,2,1232.5,1232.8,4,900.00,0.00
20,cart,1,1231.0,1232.9,20,225.00,0.00
20,cart,3,1231.0,1232.9,20,225.03,0.46
20,cart,4,1231.0,1232.9,20,225.04,0.28
21,plane,1,1321.1,1321.6,6,899.29,0.24
21,plane,1,1321.8,1322.3,6,898.71,0.19
21,cart,4,1321.2,1322.4,13,225.00,0.27
21,cart,4,1321.4,1322.9,16,225.06,0.29
21,cart,4,1322.6,1322.9,4,203.50,2.70
21,plane,1,1322.6,1322.9,4,900.00,0.00
